Reis;900000;1;0
Kartoffeln;1200000;1;0
Tiefkühlpizza;600000;2;1
Pizza selbstgemacht;1500000;2;1
Grüner Tee;120000;3;1
Schwarzer Tee;180000;3;1
Kräutertee;300000;3;1
Kamillentee;480000;3;0
Thüringer Bratwurst;300000;4;0
Steak;600000;4;0
Putensteak;420000;4;0
Rosinenbrot;2700000;5;0
Vanillekipferl;900000;5;0
5 Minuten-Ei;300000;6;1
7 Minuten-Ei;420000;6;0
Lasagne;1500000;7;0
Tiefkühl-Lasagne;600000;7;0
Spaghetti al dente;480000;7;1
Spaghetti normal;600000;7;0
Linguine;360000;7;0
Chin. Mie Nudeln;180000;7;0
Lachshering;2100000;8;0
Lachs;3000000;8;0
Truthahn;7200000;9;0
Schweinebraten;5400000;9;0
Kasseler;7200000;9;0
Buntwäsche;5400000;10;0
Bunt + Vorwäsche;7200000;10;0
Kurzwäsche;1800000;10;0
Wäschetrockner;5400000;10;0
Powernap;1200000;11;0
halbe Stunde;1800000;11;0
Fussball Halbzeit;2700000;12;0
Eishockey Drittel;1200000;12;0
