Arroz;900000;1;0
Patatas;1200000;1;0
Pizza congelada;600000;2;1
Pizza hecha en casa;1500000;2;1
Té verde;120000;3;1
Té negro;180000;3;1
Té de hiervas;300000;3;0
Salchicha;300000;4;0
Bistec;600000;4;0
Filete de pavo;420000;4;0
Pan;2700000;5;0
Huevo cocido 5 min;300000;6;1
Huevo cocido 7 min;420000;6;0
Lasaña;1500000;7;1
Lasaña congelada;600000;7;0
Spaghetti al dente;480000;7;1
Spaghetti;600000;7;0
Tallarines;360000;7;0
Fideos chinos Mie;180000;7;0
Salmón;3000000;8;0
Pavo;7200000;9;0
Asado de cerdo;5400000;9;0
Lavado de ropa de color;5400000;10;0
Secadora;5400000;10;0
Siesta;1200000;11;0
Media hora;1800000;11;0
Medio tiempo (Soccer);2700000;12;0
